Package Name,Number of Words in source code,Number of lines in source code,plus ratio mean,plus ratio max,plus ratio std,plus ratio q3,eq ratio mean,eq ratio max,eq ratio std,eq ratio q3,bracket ratio mean,bracket ratio max,bracket ratio std,bracket ratio q3,Number of base64 chunks in source code,Number of IP adress in source code,Number of sospicious token in source code,Number of Words in metadata,Number of lines in metadata,Number of base64 chunks in metadata,Number of IP adress in metadata,Number of sospicious token in metadata,.bat,.bz2,.c,.cert,.conf,.cpp,.crt,.css,.csv,.deb,.erb,.gemspec,.gif,.gz,.h,.html,.ico,.ini,.jar,.java,.jpg,.js,.json,.key,.m4v,.markdown,.md,.pdf,.pem,.png,.ps,.py,.rb,.rpm,.rst,.sh,.svg,.toml,.ttf,.txt,.xml,.yaml,.yml,.eot,.exe,.jpeg,.properties,.sql,.swf,.tar,.woff,.woff2,.aac,.bmp,.cfg,.dcm,.dll,.doc,.flac,.flv,.ipynb,.m4a,.mid,.mkv,.mp3,.mp4,.mpg,.ogg,.otf,.pickle,.pkl,.psd,.pxd,.pxi,.pyc,.pyx,.r,.rtf,.so,.sqlite,.tif,.tp,.wav,.webp,.whl,.xcf,.xz,.zip,.mov,.wasm,.webm,repository,presence of installation script,shannon mean ID source code,shannon std ID source code,shannon max ID source code,shannon q3 ID source code,shannon mean string source code,shannon std string source code,shannon max string source code,shannon q3 string source code,homogeneous identifiers in source code,homogeneous strings in source code,heteregeneous identifiers in source code,heterogeneous strings in source code,URLs in source code,shannon mean ID metadata,shannon std ID metadata,shannon max ID metadata,shannon q3 ID metadata,shannon mean string metadata,shannon std string metadata,shannon max string metadata,shannon q3 string metadata,homogeneous identifiers in metadata,homogeneous strings in metadata,heterogeneous strings in metadata,URLs in metadata,heteregeneous identifiers in metadata
carbon-web-components-2.7.0,1173819.0,199157.0,1.420741354532953e-06,0.0026199005507137893,3.918817503301661e-05,0.0,0.002327172105648766,0.02233502538071066,0.001805234633346317,0.002442002442002442,0.00010097323339464462,0.015384615384615385,0.0007117293308340303,0.0,9725.0,100.0,8991.0,473,215,2,0,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,9970.0,2.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,1.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.07998410139772794,0.14432988376643635,0.792481250360578,0.17667966751071068,0.31942932262362106,0.27674284304957586,1.0,0.5264907875651347,135272,177790,694,189641,8979,0.20066002246674056,0.1348521054716589,0.5115185327664404,0.28325475327645266,0.31729454554147307,0.22641935840970812,0.8804820237218406,0.5,49,66,101,2,2
chain-registry-1.41.8,481401.0,240113.0,0.0,0.0,0.0,0.0,0.005530632584639152,0.02620776760341017,0.007443295970114972,0.016129032258064516,0.0017797706969914118,0.006980802792321117,0.0015016466937239922,0.0027541890969747518,1630.0,66.0,21914.0,106,47,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2050.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13613340260979018,0.1879455934697262,0.6854752972273344,0.2344977967946406,0.27373967154977746,0.24117408281968572,1.0,0.47014297933531546,109118,41766,12379,23792,18802,0.04669713793729595,0.0995694457230338,0.29583638929116374,0.0,0.20425143002083287,0.20735092845446643,0.612197222702993,0.38210225325431013,26,27,4,4,0
chain-registry-keplr-1.46.8,806.0,251.0,0.00041024773385065904,0.0004272591326639607,2.4057750916708755e-05,0.00041875343325730986,0.005824765958855265,0.00609516319307904,0.00038239943586743834,0.005959964575967152,0.002666610270029284,0.0027771843623157445,0.0001563753809586068,0.0027218973161725144,0.0,0.0,0.0,106,47,2,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,2.0,1.0,0,0,0,1.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.13609320174864048,0.16133245763447837,0.6758220575766962,0.2717822215997982,0.26650374595651793,0.2357984458735085,0.7697423784657509,0.5,296,19,11,18,0,0.060422075537549844,0.11001925483000961,0.3049201523582002,0.0,0.21484181370446254,0.2092487232195384,0.612197222702993,0.4056390622295664,25,25,5,3,0
ckeditor-ckeditor5-ai-41.3.1,17188.0,684.0,0.00042609266957992876,0.0025426807119505995,0.0007511245145806791,0.0006329113924050633,0.0029189369521173928,0.010609362225945532,0.0019288354251843366,0.0034602076124567475,0.002853788032067435,0.01771470970135411,0.004927449405669418,0.004856052722858134,135.0,3.0,52.0,79,48,0,0,3,0,0,0,0,0,0,0,3.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,77.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17233689289525042,0.2566122333035093,0.7783283537314114,0.32501121082417705,0.17148041409223277,0.21914485470104805,1.0,0.32501121082417705,21957,8320,5913,916,14,0.0747158224171956,0.13327734707661304,0.4157717745885329,0.06290729184695572,0.19603472974430702,0.21856686328596056,0.5783898247235197,0.4315602842833155,15,24,7,5,2
ckeditor-ckeditor5-comments-41.3.1,14832.0,1070.0,0.0005365539436981614,0.002235707441711913,0.0007135734320401559,0.0010263436085103622,0.0037907753056031267,0.01040229003731534,0.0017013268925266823,0.004998338731708575,0.005681179872813218,0.021413723184923922,0.006575518734331469,0.011680062678120468,31.0,3.0,22.0,82,53,0,0,3,0,0,0,0,0,0,0,9.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,98.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,5.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2867305880367859,0.3068094941543359,0.7244078178625923,0.612197222702993,0.21526944626440314,0.2343871215444029,1.0,0.36096404744368116,17310,4994,13261,645,4,0.042213940230237966,0.09439807295107083,0.25659258936863766,-0.0,0.16446247504400646,0.20766748379593972,0.5783898247235197,0.3573744370981058,15,30,5,5,1
ckeditor-ckeditor5-document-outline-41.3.1,4716.0,347.0,0.0002781617436334315,0.0022002200220022,0.0006116019963847391,0.0,0.007879739892927107,0.010178117048346057,0.002620505511168422,0.00980392156862745,0.0026856747039326876,0.018726591760299626,0.004906570424254404,0.004608294930875576,11.0,0.0,7.0,64,36,0,0,3,0,0,0,0,0,0,0,2.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,57.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2555055658399934,0.3014811292420108,0.7244078178625923,0.612197222702993,0.198592987609153,0.23499399150766087,1.0,0.36096404744368116,6157,1634,4118,277,3,0.06531237215182313,0.12661351823873088,0.4157717745885329,-0.0,0.2543332918348903,0.2114342743228639,0.5783898247235197,0.4518863853537084,14,13,9,5,2
ckeditor-ckeditor5-export-pdf-41.3.1,1706.0,190.0,0.0001846357139566482,0.00288979377380796,0.0006202443513445223,0.0,0.01267272558712029,0.015444015444015444,0.0034517446975922206,0.014427447211905566,0.0017370232984135826,0.015151515151515152,0.0037903784399471144,0.0,5.0,4.0,7.0,86,50,1,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,54.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16950311532512763,0.25839846103978564,0.7244078178625923,0.32501121082417705,0.1728364010359069,0.24314324707,0.9926140680171256,0.36096404744368116,1146,788,369,59,3,0.01677527782585486,0.06276734219229493,0.25162916738782287,-0.0,0.13925120880835654,0.19910646527762746,0.5783898247235197,0.3273289635180823,14,39,7,5,0
ckeditor-ckeditor5-export-word-41.3.1,1793.0,188.0,0.00017631229183619505,0.00263042525208242,0.0005873512481674516,0.0,0.012144055314937199,0.014925373134328358,0.0031595729652761652,0.01376948596297221,0.0018447012096313021,0.015816174276335422,0.004256117758199427,0.0,54.0,0.0,7.0,86,50,1,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,52.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.19168810515287701,0.27437462130523893,0.7244078178625923,0.3802016425577644,0.20242673708231623,0.23950256794929164,1.0,0.4056390622295664,1261,719,498,61,3,0.01677527782585486,0.06276734219229493,0.25162916738782287,-0.0,0.19982732942410372,0.2087144637590961,0.5783898247235197,0.4056390622295664,14,30,7,5,0
ckeditor-ckeditor5-format-painter-41.3.1,3179.0,232.0,0.00024150552283595092,0.0024410089503661514,0.0006303979880100013,0.0,0.0078111884501622,0.010282776349614395,0.0021546708339260853,0.009184881410391917,0.0015162469619842895,0.013723177087222064,0.0032725640262994495,0.0,6.0,0.0,13.0,59,33,0,0,3,0,0,0,0,0,0,0,1.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,52.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,2.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23594644670477802,0.3027938484624184,0.7244078178625923,0.612197222702993,0.2095735321795981,0.22197806104502682,1.0,0.34989493815076994,3503,1038,1948,222,3,0.03176385979727878,0.08404385394380884,0.25659258936863766,0.0,0.24674656741807624,0.21479715891445944,0.5783898247235197,0.4538742042611472,14,13,7,5,1
ckeditor-ckeditor5-import-word-41.3.1,1141.0,186.0,0.00017488829323381185,0.002586206896551724,0.0005979103262702583,0.0,0.01842014632359016,0.02185792349726776,0.005748546407357439,0.021136173767752713,0.001977913854666537,0.02484361036639857,0.0048248224677493266,0.0,6.0,0.0,5.0,86,50,1,0,3,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,50.0,3.0,0,0,0,3.0,0,0,0.0,0,0,0,0,0,0,1.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17981055270514087,0.2636843621575275,0.6960736118322672,0.32501121082417705,0.26549255743898587,0.2508653595199248,0.9591479170272448,0.4056390622295664,1169,248,381,64,3,0.01677527782585486,0.06276734219229493,0.25162916738782287,-0.0,0.19982732942410372,0.2087144637590961,0.5783898247235197,0.4056390622295664,14,30,7,5,0
